#;Hall.;H. Type;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;L0;L0_ii;L0_iii;L0_iv;L1;L2;Q0;Q0_ii;Q0_iii;Q0_iv;Q1;Q2;M0;M0_ii;M0_iii;M0_iv;M1;M2;G0;G0_ii;G0_iii;G0_iv;G1;G2;;Support;Prec. Macro;Prec. Macro Balanced;Prec. Micro A;Prec. Micro B;Optimal numeric
GS.3.6;No;;;;;;;X;;X;;;;X;X;;;;;X;;;;X;;X;X;;;;;;0,80;;0,76;;;;0,75;0,72;;;;;0,75;;;;0,85;;0,60;0,74;;;;;;0,80;;0,74;;;;0,75;0,72;;;;;0,75;;;;0,84;;0,60;0,74;;;;;;0,80;;0,49;;;;0,75;0,72;;;;;0,75;;;;0,68;;0,60;0,74;;8;5,97;5,405;5,94;5,53;0,272529
GS.3.8;No;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;0,75;;;;;;;;;1;0,75;0,750;0,75;0,75;0,038417
"L0.3.3; L0_ii.3.2; L1.3.2; Q0_ii.3.2; Q0_iii.3.3; Q0_iv.3.1; Q1.3.7; Q2.3.1; M0_ii.3.1; M0_iii.3.1";Yes;Scope misalignment;;X;X;;;X;;;X;X;X;X;X;;X;X;;;;;;;;;;;0,89;0,89;;;0,80;;;0,76;0,76;0,76;0,75;0,72;;0,66;0,66;;;;;;;;;;;0,89;0,89;;;0,80;;;0,74;0,74;0,74;0,75;0,72;;0,65;0,65;;;;;;;;;;;0,78;0,78;;;0,80;;;0,49;0,49;0,49;0,75;0,72;;0,49;0,49;;;;;;;;;;;10;7,64;3,616;7,58;6,28;0,427714
"L1.3.4; Q1.3.9; Q2.3.5";Yes;Template drift;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;;;;;0,80;;;;;;0,75;0,72;;;;;;;;;;;;;;3;2,27;2,274;2,27;2,27;0,113009
Q0.3.2;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.3.7;Yes;Contextual misfit;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.3.8;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0.3.9;Yes;Template drift;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,032545
Q0_ii.3.3;Yes;Contextual misfit;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,046404
Q0_iii.3.4;Yes;Template drift;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;0,49;;;;;;;;;;;;;;;;;1;0,76;0,190;0,74;0,49;0,039036
